시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
중앙동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 태평3길 43-17,전라북도 전주시 완산구 태평동 32,35.82353305,127.1406237,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 중앙동 주민센터,063-220-1712,2022-08-23,4640000,전라북도 전주시
중증장애인지역생활지원센터,전라북도,전주시,46400,"전라북도 전주시 덕진구 한배미로 16, 3층(열린빌딩)",전라북도 전주시 덕진구 인후동1가 938-2,35.82486572,127.166655,3층 로비 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 중증장애인지역생활지원센터,063-908-9005,2022-08-23,4640000,전라북도 전주시
중화산1동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 한두평3길 16,전라북도 전주시 완산구 중화산동2가 662,35.81460332,127.1248291,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 중화산1동 주민센터,063-220-1800,2022-08-23,4640000,전라북도 전주시
중화산2동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 화산천변로 30,전라북도 전주시 완산구 중화산동2가 752-1,35.82167632,127.1163849,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 중화산2동 주민센터,063-220-1812,2022-08-23,4640000,전라북도 전주시
진북동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 벚꽃1길 8,전라북도 전주시 덕진구 진북동 1042-4,35.82790004,127.1314403,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 진북동 주민센터,063-279-7106,2022-08-23,4640000,전라북도 전주시
팔복동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 신복5길 6,전라북도 전주시 덕진구 팔복동1가 138-6,35.85366167,127.1062813,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 팔복동 주민센터,063-279-7252,2022-08-23,4640000,전라북도 전주시
평화1동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 장승배기로 256,전라북도 전주시 완산구 평화동1가 445-8,35.79809333,127.1403061,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 평화1동 주민센터,063-220-1828,2022-08-23,4640000,전라북도 전주시
평화2동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 평화18길 14-16,전라북도 전주시 완산구 평화동1가 720-4,35.79554673,127.1352679,1층 입구 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 평화2동 주민센터,063-220-1852,2022-08-23,4640000,전라북도 전주시
평화보건지소,전라북도,전주시,46400,전라북도 전주시 완산구 평화13길 7(로비),전라북도 전주시 완산구 평화동2가 862-6,35.790764,127.1366936,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 평화보건지소,063-281-6633,2022-08-23,4640000,전라북도 전주시
학산종합사회복지관,전라북도,전주시,46400,전라북도 전주시 완산구 모악로 4726,전라북도 전주시 완산구 평화동2가 230-27,35.79111927,127.132869,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 학산종합사회복지관,063-223-9999,2022-08-23,4640000,전라북도 전주시
혁신동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 오공로 43-24,전라북도 전주시 덕진구 중동 775-5,35.83754593,127.0613112,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 혁신동 주민센터,063-279-7407,2022-08-23,4640000,전라북도 전주시
동서학동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 서학로 26,전라북도 전주시 완산구 동서학동 150,35.80950159,127.152243,1층 입구 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 동서학동 주민센터,063-220-1766,2022-08-23,4640000,전라북도 전주시
삼천1동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 성지산로 33,전라북도 전주시 완산구 삼천동1가 573-2,35.80082273,127.1215955,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 삼천1동 주민센터,063-220-1906,2022-08-23,4640000,전라북도 전주시
삼천2동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 거마중앙로 49,전라북도 전주시 완산구 삼천동1가 633,35.79635279,127.1223413,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 삼천2동 주민센터,063-220-1917,2022-08-23,4640000,전라북도 전주시
삼천3동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 삼천천변2길 37,전라북도 전주시 완산구 삼천동1가 287-21,35.79689237,127.1142868,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 삼천3동 주민센터,063-220-1940,2022-08-23,4640000,전라북도 전주시
새빛장애인자립생활센터,전라북도,전주시,46400,"전라북도 전주시 완산구 모악로 4692, 3층(덕수빌딩)",전라북도 전주시 완산구 평화동2가 302-3,35.78830843,127.1309312,3층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 새빛장애인자립생활센터,063-237-2763,2022-08-23,4640000,전라북도 전주시
서서학동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 공수내로 24,전라북도 전주시 완산구 서서학동 23-8,35.80575661,127.1486909,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 서서학동 주민센터,063-220-1786,2022-08-23,4640000,전라북도 전주시
군자역,서울특별시,광진구,11215,서울특별시 광진구 천호대로 550,,37.55720376,127.0794903,7번출구 지상용 엘리베이터 지하 출입구,06:00,23:00,06:00,23:00,06:00,23:00,2,Y,Y,서울특별시 광진구,02-450-7529,2022-06-22,3040000,서울특별시 광진구
서신동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 서신천변14길 10,전라북도 전주시 완산구 서신동 804,35.83102035,127.1153058,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 서신동 주민센터,063-220-1893,2022-08-23,4640000,전라북도 전주시
송천1동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 송천중앙로 116,전라북도 전주시 덕진구 송천동1가 395-28,35.85711883,127.1210138,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 송천1동 주민센터,063-279-7326,2022-08-23,4640000,전라북도 전주시
송천2동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 두간9길 6,전라북도 전주시 덕진구 송천동1가 829-1,35.86490506,127.1155849,1층 입구 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 송천2동 주민센터,063-279-7347,2022-08-23,4640000,전라북도 전주시
어울림국민체육센터,전라북도,전주시,46400,전라북도 전주시 덕진구 조경단로 258-17,전라북도 전주시 덕진구 송천동1가 186,35.85501829,127.1258282,1층 로비 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 전주어울림국민체육센터,063-239-2702,2022-08-23,4640000,전라북도 전주시
오목대 관광안내소,전라북도,전주시,46400,전라북도 전주시 완산구 기린대로 99,전라북도 전주시 완산구 남노송동 100-1,35.81825046,127.1536774,안내소 내,09:00,18:00,09:00,18:00,09:00,18:00,4,Y,Y,전라북도 전주시 전주한옥마을오목대 관광안내소,063-282-1330,2022-08-23,4640000,전라북도 전주시
완산동 주민센터,전라북도,전주시,46400,전라북도 전주시 완산구 강당2길 7,전라북도 전주시 완산구 서완산동2가 71-31,35.80922981,127.1348505,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 완산동 주민센터,063-220-1755,2022-08-23,4640000,전라북도 전주시
완산체련공원,전라북도,전주시,46400,전라북도 전주시 완산구 모악산자락길 22,전라북도 전주시 완산구 중인동 361-1,35.76749289,127.101535,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 완산생활체육공원,063-239-2569,2022-08-23,4640000,전라북도 전주시
우아1동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 우아2길 25,전라북도 전주시 덕진구 우아동3가 746-67,35.84984323,127.1595686,1층 입구 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 우아1동 주민센터,063-279-7277,2022-08-23,4640000,전라북도 전주시
우아2동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 진버들7길 25,전라북도 전주시 덕진구 우아동2가 856-3,35.83775083,127.1670431,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 우아2동 주민센터,063-279-7287,2022-08-23,4640000,전라북도 전주시
인후1동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 견훤로 290,전라북도 전주시 덕진구 인후동1가 766-9,35.83747597,127.1566512,1층 입구 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 인후1동 주민센터,063-279-7126,2022-08-23,4640000,전라북도 전주시
인후2동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 견훤왕궁로 244,전라북도 전주시 덕진구 인후동2가 26-8,35.83987035,127.1463475,1층 입구 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 인후2동 주민센터,063-279-7148,2022-08-23,4640000,전라북도 전주시
인후3동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 구총목로 11,전라북도 전주시 덕진구 인후동1가 886-6,35.82804257,127.1613387,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 인후3동 주민센터,063-270-6858,2022-08-23,4640000,전라북도 전주시
작은자의장애인자립생활센터,전라북도,전주시,46400,"전라북도 전주시 완산구 장승배기로 342, 5층(반석빌딩)",전라북도 전주시 완산구 서서학동 359,35.80245943,127.1481815,5층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 전북작은자의장애인자립생활센터,063-285-5538,2022-08-23,4640000,전라북도 전주시
전라북도 척수장애인재활지원센터,전라북도,전주시,46400,"전라북도 전주시 덕진구 송천3길 14, 1층(솔내문화복지관)",전라북도 전주시 덕진구 송천동1가 453-7,35.8610434,127.1199701,1층 사무실 안(솔내문화복지관),09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 전라북도척수장애인협회,063-286-3337,2022-08-23,4640000,전라북도 전주시
전북교육청,전라북도,전주시,46400,전라북도 전주시 완산구 홍산로 111,전라북도 전주시 완산구 효자동2가 1325,35.80431685,127.1027455,1층 로비 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도교육청,063-239-3438,2022-08-23,4640000,전라북도 전주시
전북도청,전라북도,전주시,46400,전라북도 전주시 완산구 효자로 225(로비 북카페),전라북도 전주시 완산구 효자동3가 1,35.81944731,127.1063738,1층 로비 북카페,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도청,063-280-4675,2022-08-23,4640000,전라북도 전주시
전주 시외버스터미널,전라북도,전주시,46400,전라북도 전주시 덕진구 가리내로 30,전라북도 전주시 덕진구 금암동 796-5,35.83443306,127.1326898,1층 로비,09:00,18:00,09:00,18:00,09:00,18:00,4,Y,N,전라북도 전주시 전주시외버스터미널,063-270-1760,2022-08-23,4640000,전라북도 전주시
은산면행정복지센터,충청남도,부여군,45700,충청남도 부여군 은산면 충의로 690,충청남도 부여군 은산면 신대리 359-40,36.3104254,126.854221,1층 제2출입구 경사로 끝,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,N,충청남도 부여군청,041-830-6401,2022-06-30,4570000,충청남도 부여군
외산면행정복지센터,충청남도,부여군,45700,충청남도 부여군 외산면 외산로 111,충청남도 부여군 외산면 만수리 15-2,36.30433826,126.7042179,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,N,N,충청남도 부여군청,041-830-6432,2022-06-30,4570000,충청남도 부여군
내산면행정복지센터,충청남도,부여군,45700,충청남도 부여군 내산면 성충로 982,충청남도 부여군 내산면 운치리 695-1,36.2748573,126.7805259,1층  현관,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 부여군청,041-830-6462,2022-06-30,4570000,충청남도 부여군
구룡면행정복지센터,충청남도,부여군,45700,충청남도 부여군 구룡면 태양로 17,충청남도 부여군 구룡면 태양리 67-7,36.2527381,126.8132266,구룡면주민자치센터,09:00,18:00,09:00,18:00,09:00,18:00,2,N,N,충청남도 부여군청,041-830-6492,2022-06-30,4570000,충청남도 부여군
홍산면행정복지센터,충청남도,부여군,45700,충청남도 부여군 홍산면 홍산로 77,충청남도 부여군 홍산면 북촌리 414,36.21661853,126.7606612,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,N,충청남도 부여군청,041-830-6522,2022-06-30,4570000,충청남도 부여군
옥산면행정복지센터,충청남도,부여군,45700,충청남도 부여군 옥산면 대백제로 336-6,충청남도 부여군 옥산면 안서리 368-1,36.1918212,126.7336988,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,N,충청남도 부여군청,041-830-6551,2022-06-30,4570000,충청남도 부여군
남면행정복지센터,충청남도,부여군,45700,충청남도 부여군 남면 남성로 426,충청남도 부여군 남면 회동리 339-2,36.21194783,126.806642,1층 출입구,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,N,충청남도 부여군청,041-830-6583,2022-06-30,4570000,충청남도 부여군
충화면행정복지센터,충청남도,부여군,45700,충청남도 부여군 충화면 팔충로 770,충청남도 부여군 충화면 천당리 194,36.18203697,126.8214717,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,N,N,충청남도 부여군청,041-830-6628,2022-06-30,4570000,충청남도 부여군
양화면행정복지센터,충청남도,부여군,45700,충청남도 부여군 양화면 입포로53번길 6,충청남도 부여군 양화면 입포리 60-8,36.13567076,126.8808527,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,Y,Y,충청남도 부여군청,041-830-6658,2022-06-30,4570000,충청남도 부여군
임천면행정복지센터,충청남도,부여군,45700,충청남도 부여군 임천면 성흥로97번길 23,충청남도 부여군 임천면 군사리 314-9,36.19139569,126.8950597,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,N,N,충청남도 부여군청,041-830-6672,2022-06-30,4570000,충청남도 부여군
장암면행정복지센터,충청남도,부여군,45700,충청남도 부여군 장암면 석동로 15,충청남도 부여군 장암면 석동리 603-1,36.24393614,126.8861949,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,1,Y,N,충청남도 부여군청,041-830-6704,2022-06-30,4570000,충청남도 부여군
세도면행정복지센터,충청남도,부여군,45700,충청남도 부여군 세도면 세도중앙로 8,충청남도 부여군 세도면 청송리 414-2,36.169653,126.9483739,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,1,Y,Y,충청남도 부여군청,041-830-6732,2022-06-30,4570000,충청남도 부여군
충주시장애인복지관,충청북도,충주시,43130,충청북도 충주시 호암대로 129,충청북도 충주시 호암동 185-4,36.958075,127.9396686,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821,2022-03-31,4390000,충청북도 충주시
충주시청 민원봉사실,충청북도,충주시,43130,충청북도 충주시 으뜸로 21,충청북도 충주시 금릉동 700,36.99073595,127.926555,1층 민원동 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821,2022-03-31,4390000,충청북도 충주시
교현안림동 행정복지센터,충청북도,충주시,43130,충청북도 충주시 금봉대로 410,충청북도 충주시 안림동 1079-3,36.9714584,127.9476488,1층 민원실 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,충청북도 충주시청,043-850-6821,2022-03-31,4390000,충청북도 충주시
부여읍행정복지센터,충청남도,부여군,45700,충청남도 부여군 부여읍 사비로 36,충청남도 부여군 부여읍 동남리 692,36.27555217,126.9111703,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,N,N,충청남도 부여군청,041-830-6318,2022-06-30,4570000,충청남도 부여군
규암면행정복지센터,충청남도,부여군,45700,충청남도 부여군 규암면 계백로 39,충청남도 부여군 규암면 규암리 산 12-1,36.2749717,126.8839123,1층 현관,09:00,18:00,09:00,18:00,09:00,18:00,2,N,N,충청남도 부여군청,041-830-6357,2022-06-30,4570000,충청남도 부여군
전동휠체어급속충전기,대전광역시,서구,30170,대전광역시 서구 만년로 67번길 18-13,대전광역시 서구 만년동 322,36.3683731,127.3810475,대전시지체장애인협회 서구지회,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,대전지체장애인협회,042-488-1181,2022-06-08,3660000,대전광역시 서구
전동휠체어급속충전기,대전광역시,서구,30170,대전광역시 서구 둔산서로 100(둔산동),대전광역시 서구 둔산동 1300,36.35505672,127.3833597,서구청,05:30,23:30,05:30,23:30,05:30,23:30,2,N,N,대전지체장애인협회,042-488-1181,2022-06-08,3660000,대전광역시 서구
울산광역시장애인자립생활센터,울산광역시,남구,31140,울산광역시 남구돋질로 131,울산광역시 남구 신정동 168-8,35.54022178,129.3198328,장애인복지지설,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,울산광역시 남구,052-226-6932,2022-05-31,3700000,울산광역시 남구
울산광역시지체장애인협회남구지회,울산광역시,남구,31140,울산광역시 남구 삼산중로131번길 26-1,울산광역시 남구 삼산동 1466-3,35.54464678,129.3329625,장애인복지지설,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,울산광역시 남구,052-226-6932,2022-05-31,3700000,울산광역시 남구
울산광역시시청,울산광역시,남구,31140,울산광역시 남구 중앙로 201,울산광역시 남구 신정동 646-4,35.5379449,129.3112605,장애인복지지설,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,울산광역시 남구,052-226-6932,2022-05-31,3700000,울산광역시 남구
울산광역시남구청,울산광역시,남구,31140,울산광역시 남구 돋질로233,울산광역시 남구 달동 1320-1,35.54373848,129.3295178,본관 출입문 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,울산광역시 남구,052-226-6932,2022-05-31,3700000,울산광역시 남구
울산광역시 남구 신정1동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 월평로 9번길 7,울산광역시 남구 신정동 639-2,35.54133993,129.3065519,출입문 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,울산광역시 남구 신정1동 행정복지센터,052-226-2519,2022-05-31,3700000,울산광역시 남구
울산광역시 남구 신정2동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 봉월로 20번길 9,울산광역시 남구 신정동 1210-9,35.53465621,129.3078438,출입문 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,울산광역시 남구 신정2동 행정복지센터,052-226-2529,2022-05-31,3700000,울산광역시 남구
울산광역시 남구 신정3동 행정복지센터,울산광역시,남구,31140,울산광역시 남구 월평로 103번길 18,울산광역시 남구 신정동 294-4,35.54506346,129.3163833,출입문 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,울산광역시 남구 신정3동 행정복지센터,052-226-2834,2022-05-31,3700000,울산광역시 남구
울산광역시 남구 신정4동 행정복지센터,울산광역시,남구,31140,울산광역시남구 수암로 64번길 16,울산광역시 남구 신정동 880-9,35.52934792,129.3144282,출입문 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,N,N,울산광역시 남구 신정4동 행정복지센터,052-226-2545,2022-05-31,3700000,울산광역시 남구
황산면사무소,전라남도,해남군,46820,전라남도 해남군 황산면 시등로 70,전라남도 해남군 황산면 우항리 422-4,34.57707096,126.4367778,황산면사무소 복도에 설치되어 있음,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,전라남도 해남군 황산면사무소,061-531-3472,2022-04-13,4930000,전라남도 해남군
해남군청소년누림문화센터,전라남도,해남군,46820,전라남도 해남군 해남읍 군청길 4,전라남도 해남군 해남읍 성내리 4,34.57347896,126.5990654,해남군청소년누림문화센터 3층에 설치되어 있음,09:00,21:00,10:00,19:00,00:00,00:00,1,N,N,전라남도 해남군청 주민복지과,061-530-5316,2022-04-13,4930000,전라남도 해남군
해남군보건소,전라남도,해남군,46820,전라남도 해남군 해남읍 해남로 46,전라남도 해남군 해남읍 해리 186,34.57046163,126.6120439,보건소 내부에 설치되어 있음,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,전라남도 해남군 보건소,061-531-3713,2022-04-13,4930000,전라남도 해남군
해남군장애인종합복지관,전라남도,해남군,46820,전라남도 해남군 해남읍 신안길 2-20,전라남도 해남군 해남읍 고도리 44-20,34.56319321,126.6075662,해남군장애인종합복지관 내부에 설치되어 있음,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,해남군장애인종합복지관,061-536-6311,2022-04-13,4930000,전라남도 해남군
해남군노인종합복지관,전라남도,해남군,46820,전라남도 해남군 해남읍 서림길 16,전라남도 해남군 해남읍 구교리 344,34.5749783,126.5939787,해남군노인종합복지관 내부에 설치되어 있음,09:00,18:00,00:00,00:00,00:00,00:00,1,N,N,해남군노인종합복지관,061-537-0012,2022-04-13,4930000,전라남도 해남군
부천시청역(7호선),경기도,부천시,31050,경기도 부천시 길주로 221,경기도 부천시 중동 1034-5,37.50471881,126.7672298,개찰구 안쪽,05:40,23:40,05:40,23:40,05:40,23:40,2,N,N,인천교통공사,02-6311-9582,2022-04-01,3860000,경기도 부천시
장애인회관,경기도,부천시,31050,경기도 부천시 신흥로 364,경기도 부천시 내동 60-1,37.51614949,126.7758744,1층 현관문 안 옆,09:00,18:00,00:00,00:00,00:00,00:00,4,N,N,부천장애인회관담당,032-340-5305,2022-04-01,3860000,경기도 부천시
부천시청(시비설치),경기도,부천시,31050,경기도 부천시 길주로 210,경기도 부천시 중동 1156,37.50358103,126.7653372,장애인복지과 입구,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,경기도 부천시청 장애인담당,032-625-2905,2022-04-01,3860000,경기도 부천시
복사골문화센터(시비설치),경기도,부천시,31050,경기도 부천시 장말로 107,경기도 부천시 상동 394-2,37.49478344,126.7542142,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,부천도시공사 레포츠사업부,032-340-5393,2022-04-01,3860000,경기도 부천시
지체장애인협회 부천지회(시비설치),경기도,부천시,31050,경기도 부천시 부천로136번길 30,경기도 부천시 원미동 87-2,37.49578877,126.7869671,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,지체장애인협회 부천지회,032-663-9886,2022-04-01,3860000,경기도 부천시
신중동종합사회복지관(시비설치),경기도,부천시,31050,경기도 부천시 도약로 146,경기도 부천시 중동 1041,37.5095138,126.7671245,1층 현관문 안 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,덕유종합사회복지관,032-325-2161,2022-04-01,3860000,경기도 부천시
삼정종합사회복지관(시비설치),경기도,부천시,31050,경기도 부천시 삼작로 52,경기도 부천시 삼정동 365-2,37.51975033,126.7664762,1층 현관문 안 옆,09:00,18:00,00:00,00:00,00:00,00:00,2,Y,Y,삼정종합사회복지관,032-323-3162,2022-04-01,3860000,경기도 부천시
까치울역(7호선)(시비설치),경기도,부천시,31050,경기도 부천시 길주로 지하 626,경기도 부천시 춘의동 3-1,37.50619229,126.811386,지하1층 5번 출구쪽,05:40,23:40,05:40,23:40,05:40,23:40,2,Y,Y,인천교통공사,02-6311-9588,2022-04-01,3860000,경기도 부천시
신중동역(7호선),경기도,부천시,31050,경기도 부천시 길주로 지하 314,경기도 부천시 중동 1140-6,37.50297215,126.7764991,지하1층 개찰구 옆,05:40,23:40,05:40,23:40,05:40,23:40,2,Y,Y,인천교통공사,02-6311-9582,2022-04-01,3860000,경기도 부천시
